"","Intercept","logdbh","intra","inter","HM","HW"
"Prunus polystachya",-7.3232726149742,2.83974807154407,0.294614048991281,0.327992732664638,-0.364135784634112,0.275061040390547
"Campnosperma squamatum",-7.67830232287045,2.56763078444495,0.590514777693769,0.201673167733393,-1.4836534792659,-0.634158021325
"Timonius wallichianus",-6.22335543228562,2.82189437289639,-0.376102955972322,0.6226991752226,-1.14146545074926,-4.71316163346207
"Gironniera nervosa",-7.4518989452827,2.26035292238511,-0.623696254304274,2.28358196810053,-1.32283921911644,-4.22794281337518
"Gynotroches axillaris",-6.10034108797702,2.68389218474279,-0.377087671904722,-1.71867114718121,0.420079805239369,8.02589612941972
"Aporosa frutescens",-5.56583573507774,3.09528790759384,-1.00817963852973,0.438658095339768,1.5788881750004,2.09193840779181
"Xanthophyllum flavescens",-7.38887937266211,2.72337400865484,0.253112536649491,0.825134867650423,-0.965156291131843,-0.635641788503902
"Rhodamnia cinerea",-7.00490064152043,2.57134955163951,-0.0690070945469038,0.626943908933647,-1.46499690684016,-4.63482858996686
"Strombosia ceylanica",-6.93854596014585,2.81813296749615,0.1786710646927,0.307313554394257,-0.312967448887709,3.80897698825779
"Pometia pinnata",-7.3232726149742,2.83974807154407,-0.0868026933219695,0.227356465451428,-0.121169958748589,0.0326615210869447
"population",-6.74395762599115,2.71573617689108,-0.0868026933219695,0.227356465451428,-0.121169958748589,0.0326615210869447
