"","Intercept","logdbh","theta"
"Prunus polystachya",0.385163637409304,1.53292748768725,0.655272759783979
"Campnosperma squamatum",0.48327805795877,1.52793887292658,0.655272759783979
"Gynotroches axillaris",4.42775382393319,1.70326892281091,0.655272759783979
"Aporosa frutescens",2.2094379114008,1.45496550971046,0.655272759783979
"Rhodamnia cinerea",0.937036812045053,1.69791717251455,0.655272759783979
"Timonius wallichianus",2.16089503029813,1.67895997169413,0.655272759783979
"Strombosia ceylanica",-0.412953058681452,1.42343820074086,0.655272759783979
"Pometia pinnata",1.38025246404515,1.58358563110438,0.655272759783979
"population",1.38025246404515,1.58358563110438,0.655272759783979
