"","K1","K2","K","r1","r2","p1.wet","p1.dry","p1.intraS","p2","p2.intraS","p2.interS"
"All other spp",0.965958494294561,0.985191579948155,0.965958494294561,2.91773221840033,-11.7930171842974,-2.23419076432576,-2.23419076432576,0.486146207160987,5.50783102558179,-0.536694750489616,0.694427788980446
"Alstonia angustifolia",0.97015466852335,0.977378998775076,0.97015466852335,4.35272534018117,-12.2702001853478,-5.16542933508741,-4.7212862514795,0.465212986778504,3.86517461031323,-0.108875997830314,-0.632899467069407
"Aporosa falcifera",0.969220519390237,0.992375247468642,0.969220519390237,4.15867900700612,-12.7221198718886,-4.3574703618626,-3.9284640599158,0.658616766867848,3.77460307286199,-0.110706156051783,0.325185978692614
"Aporosa frutescens",0.97142581542678,0.998854285240594,0.97142581542678,5.65980055010697,-14.1219685466706,-2.41863424779882,-1.56288455001097,1.36492660301592,3.13371961568227,-0.350050865903774,-0.939423631425899
"Aporosa lucida",0.969462022727993,0.992825504459544,0.969462022727993,4.25317865058183,-12.6292485469091,-4.6903004153161,-4.8337492507912,0.599262325211138,3.13112685777235,-0.161920627122044,-0.105136144509679
"Aporosa symplocoides",0.969139122556104,0.995081594879877,0.969139122556104,3.64567069321087,-12.9524595737377,-2.36886360540654,-1.3425377469142,1.13293513782637,3.68106276391811,-0.0224412205454389,-0.0761067831725595
"Archidendron clypearia",0.966347750217944,0.994152544364523,0.966347750217944,4.83136285613088,-14.0169364993918,-2.21434822778585,-3.24190789638963,0.652570067529887,2.99093176084722,-0.108875997830314,0.32724863554567
"Artocarpus elasticus",0.969542928394763,0.99039601724275,0.969542928394763,4.23242549354273,-13.0239779090713,-4.11225266730621,-4.27964777384594,0.577774210800791,4.06497427998382,-0.355669426034715,-0.250575442837967
"Baccaurea bracteata",0.968971252637015,0.993437986004421,0.968971252637015,4.33733845068768,-13.1074074642061,-5.02073479607027,-4.12846747433196,0.541013010716948,3.88808998683365,-0.108875997830314,-0.14260825134695
"Bhesa paniculata",0.966572131946163,0.993744543887622,0.966572131946163,3.95063227053147,-13.0559821960166,-4.18688158910131,-3.52566203084017,1.60959061695757,4.36847773275638,-0.087824946528194,-0.0984515689531991
"Calophyllum pulcherrimum",0.970309680037395,0.992975172003492,0.970309680037395,4.31198378239865,-13.0164527429658,-4.6127699615804,-4.92414579254846,0.734889786074699,3.29419558863621,-0.521949246456882,0.620292711987547
"Calophyllum rufigemmatum",0.968835987232887,0.992164361896629,0.968835987232887,3.97944523817314,-13.2055705856478,-5.37287151746963,-4.86773578374347,0.683882728933104,4.12989873371888,-0.179273792065227,0.0708783625068294
"Calophyllum tetrapterum var. tetrapterum",0.969635873520684,0.988327827220444,0.969635873520684,4.2672151563875,-13.2680774128486,-4.16155303540225,-4.368496193836,0.653987429032293,3.59838286468379,-0.21622389025219,-0.2063034212593
"Calophyllum teysmannii",0.967767817687084,0.99215241919557,0.967767817687084,4.21881687022608,-12.7499328815261,-4.54264097778835,-4.99568464985797,0.686435456256355,4.12391865907809,-0.337837827649495,-0.529696182097062
"Campnosperma squamatum",0.969774657152044,0.993790809434264,0.969774657152044,5.09733916395067,-12.8028444045902,-3.06643353550442,0.31094009816751,0.877790049837367,3.92559969285476,-0.0786443246320902,0.0111850617873547
"Canarium littorale",0.969891763230744,0.984460376405322,0.969891763230744,4.21684720649878,-12.8768693940944,-4.80123320346009,-4.28203193665179,0.622035497996343,4.01983997159417,-0.194669435707049,-0.536663676226396
"Carallia brachiata",0.96917811706721,0.993358147479141,0.96917811706721,4.19816596952169,-13.1494955585856,-3.68748695257676,-4.43458426107246,0.56431788045831,4.42331594789561,-0.038608018244757,0.112850624604845
"Cryptocarya ferrea",0.969390297684442,0.993364290974992,0.969390297684442,4.25285557526914,-12.531792747433,-4.4637528696494,-4.09948927258115,0.601770654813343,2.79052815464776,-0.108875997830314,-0.569133097346402
"Diospyros lanceifolia",0.971351755110932,0.989965547780113,0.971351755110932,4.28032498803238,-12.4370890746614,-4.45385216150906,-4.06025968419775,0.686702456374891,3.12584785055606,-0.108875997830314,0.713802623821402
"Diplospora malaccensis",0.971283282275047,0.991042689208378,0.971283282275047,4.3138121025535,-12.7798294653622,-4.3660932651709,-5.2872364381371,0.578997810513803,3.0470673405481,-0.0663747854577678,-0.45865234277144
"Elaeocarpus mastersii",0.966378152360653,0.98142538095726,0.966378152360653,4.6490698968536,-13.4999246749752,-4.23114696323548,-4.47247403459357,0.652570067529887,3.44001212618932,-0.108875997830314,0.116162075926478
"Elaeocarpus stipularis",0.969060723003003,0.990062490798858,0.969060723003003,4.31310387704017,-12.8620088339964,-3.41152445456126,-1.76241960891758,0.792210432716221,4.00391164223207,-0.371605656457201,-0.399795438049798
"Garcinia parvifolia",0.969589863423027,0.978005559214572,0.969589863423027,4.41299552053685,-13.228643914614,-5.29140048319303,-5.6356259457089,0.583896690547314,4.252717591914,-0.0496960636740981,-0.0708938636592551
"Gironniera nervosa",0.970848751464712,0.995728452362135,0.970848751464712,4.38745638716183,-12.8895209938139,-4.64375714293132,-3.86869515655538,0.780404541025949,4.32272407377907,-0.108875997830314,-0.000946472530133233
"Gluta wallichii",0.97011943751789,0.992661714564207,0.97011943751789,4.19168222169299,-13.5423037331049,-4.62001281127411,-3.73487427549764,0.578108642452132,4.16242445313713,-0.108875997830314,0.560109394394165
"Gymnacranthera farquhariana",0.969219186275457,0.991486102622072,0.969219186275457,4.17045418507726,-12.7030166468925,-4.31986836531509,-3.72012515005259,0.640937617527476,4.25488910302593,-0.222482917292901,0.251991882624416
"Gymnacranthera forbesii",0.967831583414691,0.991363986752112,0.967831583414691,4.09373771229121,-13.2182565801952,-4.27066322630386,-3.89591319294773,0.662655621180033,4.04599350684379,-0.283198385094595,0.443983654390076
"Gynotroches axillaris",0.969719421935791,0.988681400430998,0.969719421935791,4.21267279490983,-13.034021315378,-4.37568426369474,-4.34998836959011,0.609090977434512,4.23047341341668,-0.0824918059114242,-0.0859244919617494
"Horsfieldia crassifolia",NA,0.992701717019165,0.992701717019165,NA,-13.2852980593864,NA,NA,NA,3.85458133907879,-0.120633408089666,0.529140401195162
"Horsfieldia polyspherula",0.969905297322364,0.992523230859186,0.969905297322364,4.20983029741447,-12.9825564882384,-4.52627240400246,-4.25037294612816,0.622160314954587,3.99868827557346,-0.31781728419361,0.631733250374025
"Horsfieldia punctatifolia",NA,0.992414654962569,0.992414654962569,NA,-13.262668101279,NA,NA,NA,3.93543422340502,-0.351273390746625,-0.416664906223249
"Knema malayana",0.969775531752093,0.993453293850928,0.969775531752093,4.23531029003279,-13.2193591963974,-3.94983241631927,-4.5235109185342,0.541292244971522,3.37380841270223,-0.0111100729060972,-0.19235904849658
"Lithocarpus ewyckii",0.969383065179529,0.985138793844802,0.969383065179529,4.26723311117659,-12.7377300772686,-3.62598202289284,-4.5672371831086,0.567752609257974,4.11272309040193,-0.269776342503615,0.0211292243915326
"Litsea elliptica",0.969228464318486,0.978740436854109,0.969228464318486,4.30406388346055,-12.9973765169184,-4.64051011627836,-4.264443551955,0.571293140619026,4.09258595409952,-0.224963153922161,-0.39991380513187
"Litsea firma",0.966207694587686,0.988636158912944,0.966207694587686,4.11176709797008,-12.9555578115874,-4.66584923471296,-4.84194621234905,0.667423829295993,4.3256220621003,-0.362580545949206,-0.336100527187709
"Lophopetalum multinervium",0.970082653120454,0.993496396685263,0.970082653120454,4.37336457212428,-12.9345951423696,-5.54852919067843,-5.09467141227851,0.593046452750655,3.96268356884476,-0.108875997830314,0.991851040127218
"Macaranga bancana",0.969519526562119,0.968711110373615,0.969519526562119,4.29675357472424,-12.5694370514138,-0.775744558610756,-0.740761387230178,0.627878673116872,3.49652214494128,-0.198259561337294,-0.0852233309554582
"Macaranga gigantea",0.969240107773861,0.989808287462132,0.969240107773861,2.73853342988907,-13.4588575354959,-1.48650725082027,-1.67452060320819,0.652570067529887,3.71039462288561,-0.458137740289393,-0.942696253767685
"Macaranga griffithiana",0.969083419339954,0.988083900328434,0.969083419339954,4.18454268578757,-13.3940470168591,-4.26829473443111,-3.62224902557322,0.607114810968795,3.17799046448346,-0.39598126336687,0.00991623145151521
"Macaranga recurvata",0.969070800098878,0.993782418545767,0.969070800098878,4.19499728691644,-13.1597126158369,-4.22111463805477,-3.57825100147972,0.698665728549083,4.04835220216843,-0.108875997830314,0.150872324632449
"Maclurodendron porteri",0.969456657825691,0.988004572333678,0.969456657825691,4.1795988395056,-12.6261661129475,-3.55692186100581,-4.39023946598032,0.633904300012648,2.40290038649112,-0.108875997830314,0.265785229612086
"Madhuca sp.",0.968854465466995,0.991881861531254,0.968854465466995,4.17265579347912,-13.3732893970821,-4.444717515242,-3.61854675124785,0.606186469701303,4.66389789054099,-0.0407413481925177,0.153292177039384
"Mussaendopsis beccariana",NA,0.99141659369937,0.99141659369937,NA,-13.3265253716832,NA,NA,NA,4.19062388982094,-0.169711083739451,0.224577464802365
"Osmelia philippina",0.969427726914886,0.985042823810419,0.969427726914886,4.21811998863488,-12.7148549248617,-4.51890735304208,-4.18194671028621,0.592227618703781,2.62999587340266,-0.344798810492229,0.200354866083102
"Palaquium xanthochymum",0.969262840892722,0.987453939432146,0.969262840892722,4.17836171947376,-13.1667202628361,-4.50666788865223,-3.6396444158275,0.605616983122866,4.30185191522833,-0.0683011366750113,0.178228050734519
"Pellacalyx axillaris",0.969140235406341,0.987952624315659,0.969140235406341,4.16842607629594,-13.4462445784483,-4.23831131945103,-3.75952762588013,0.603482098523546,3.7665782080329,-0.182331344543298,0.0699836771564484
"Pentace triptera",0.968708881670074,0.985616593632665,0.968708881670074,4.02850796659256,-12.7548868923562,-4.037214362435,-3.72901940238339,0.960331021751418,4.04054652552175,-0.0346578863929146,0.762381973196464
"Pometia pinnata",0.96740516803247,0.993991448367806,0.96740516803247,4.58735784031344,-13.0035485064885,-3.92380646545869,-1.91342783081855,1.40964595373809,4.49677716072572,-0.108875997830314,0.432886460658843
"Porterandia anisophylla",0.969214447614076,0.987215147025563,0.969214447614076,4.23645353543078,-12.9527594361323,-3.93436774062181,-4.31652411486368,0.750248622750948,2.58619702793817,-0.0782602649828996,-0.776561139265212
"Prunus polystachya",0.964582564165834,0.988224050995937,0.964582564165834,3.25936433869265,-13.0712704334541,-1.91730844944306,-3.75783347763935,0.66519675223079,4.25760142935398,-0.108875997830314,0.294919523405891
"Pternandra coerulescens",0.969290150070661,0.995551514831987,0.969290150070661,4.2540860214258,-13.7800793544043,-4.94869023829471,-3.91757254640352,0.487721676464159,3.50462456675741,-0.108875997830314,0.224020799280322
"Pternandra echinata",0.968564762280134,0.99276578595863,0.968564762280134,2.61054946222478,-13.2003147255301,-2.26049364702706,-1.38964051234344,1.18023847339267,3.44539785031236,-0.108875997830314,-0.558224617481385
"Rhodamnia cinerea",0.969485175473674,0.958569661193232,0.969485175473674,4.17900982645088,-13.0241934947209,-4.50207288537552,-4.73449133316364,0.635388783823934,3.95003234215587,-0.108875997830314,-0.387207242500244
"Sandoricum beccarianum",0.969487471091647,0.990647980360226,0.969487471091647,4.20746695958429,-12.5809553183911,-4.28102350007257,-3.50514279716128,0.626023733976265,3.44573104113763,-0.184653705283417,0.397511780945844
"Strombosia ceylanica",0.973189067651755,0.995623316575953,0.973189067651755,4.37035887939739,-12.8519930508114,-4.88002179909936,-4.8625332338235,0.536025725193474,4.27611442180495,-0.00798458330005543,0.254299530065312
"Symplocos fasciculata",0.969379791443313,0.989508990489249,0.969379791443313,4.21876704259673,-13.2519458787043,-4.26403968495641,-4.07945131876564,0.775776463770847,3.81524204921269,-0.290110998107863,0.0889218315923734
"Syzygium lineatum",0.970273829571666,0.992654863698555,0.970273829571666,4.30777630187373,-12.9120830022545,-4.56984671611933,-4.67790539588258,0.702070312493079,3.48530303591791,-0.499906577052255,-1.17667194539193
"Syzygium pachyphyllum",0.968098420697662,0.987144824601389,0.968098420697662,4.17847210236091,-12.8284775660738,-4.37759549270538,-4.23610806185741,0.531895466517504,3.65794027418433,-0.00841766721848591,0.122693099837324
"Syzygium pseudoformosum",0.969125212075619,0.990015312744134,0.969125212075619,4.22740362973263,-11.6956541471527,-4.31375380278455,-3.88096627884922,0.648454713370397,2.10302164302712,-0.521052849755496,-0.0147123459051869
"Timonius flavescens",0.969388056125131,0.991648109802102,0.969388056125131,4.09505296002703,-12.6208107293576,-3.9976948096907,-4.01824098907134,0.610899074837896,3.70057987208411,-0.079269699116665,-0.0149804515949747
"Timonius wallichianus",0.96840596738238,0.986260881870322,0.96840596738238,4.43936805140169,-13.1004684689759,-3.4911189796167,-2.68981678347536,0.282188415828839,3.93797501198805,-0.108875997830314,-0.770240138149899
"Xanthophyllum flavescens",0.967128831841136,0.991466786059217,0.967128831841136,3.94645251173482,-12.941518094795,-4.6724597067956,-4.61820593074588,0.473699411166439,4.12099922311211,-0.108875997830314,0.0362194749038764
"Xylopia malayana",0.970044553231356,0.992285793541883,0.970044553231356,4.29949050302831,-12.8121416577616,-4.96060138454354,-4.39983069109174,0.652490720522239,3.73021013319109,-0.00315488179483692,-0.114550993219321
